name,name_lower,firstinitial_lower,firstname_lower,lastname_lower,position_description,position_description_cleaned,value,birth_date,birth_year,birth_month,age,playing_country
Leonardo Campana,leonardo campana,l,leonardo,campana,Centre-Forward,Forward,1620000.0,2000-07-24,2000,7,20,Ecuador
Lukasz Fabianski,lukasz fabianski,l,lukasz,fabianski,Goalkeeper,Goalkeeper,2880000.0,1985-04-18,1985,4,35,Poland
Darren Randolph,darren randolph,d,darren,randolph,Goalkeeper,Goalkeeper,2520000.0,1987-05-12,1987,5,33,Ireland
David Martin,david martin,d,david,martin,Goalkeeper,Goalkeeper,225000.0,1986-01-22,1986,1,34,England
Issa Diop,issa diop,i,issa,diop,Centre-Back,Defender,25200000.0,1997-01-09,1997,1,23,France
Fabián Balbuena,fabian balbuena,f,fabian,balbuena,Centre-Back,Defender,8550000.0,1991-08-23,1991,8,29,Paraguay
Angelo Ogbonna,angelo ogbonna,a,angelo,ogbonna,Centre-Back,Defender,5850000.0,1988-05-23,1988,5,32,Italy
Gonçalo Cardoso,goncalo cardoso,g,goncalo,cardoso,Centre-Back,Defender,2070000.0,2000-10-21,2000,10,19,Portugal
Aaron Cresswell,aaron cresswell,a,aaron,cresswell,Left-Back,Defender,5850000.0,1989-12-15,1989,12,30,England
Arthur Masuaku,arthur masuaku,a,arthur,masuaku,Left-Back,Defender,5850000.0,1993-11-07,1993,11,26,DR Congo
Ryan Fredericks,ryan fredericks,r,ryan,fredericks,Right-Back,Defender,3600000.0,1992-10-10,1992,10,27,England
Ben Johnson,ben johnson,b,ben,johnson,Right-Back,Defender,900000.0,2000-01-24,2000,1,20,England
Declan Rice,declan rice,d,declan,rice,Defensive Midfield,Midfielder,44550000.0,1999-01-14,1999,1,21,England
Tomas Soucek,tomas soucek,t,tomas,soucek,Defensive Midfield,Midfielder,16200000.0,1995-02-27,1995,2,25,Czech Republic
Mark Noble,mark noble,m,mark,noble,Central Midfield,Midfielder,4320000.0,1987-05-08,1987,5,33,England
Jack Wilshere,jack wilshere,j,jack,wilshere,Central Midfield,Midfielder,4320000.0,1992-01-01,1992,1,28,England
Josh Cullen,josh cullen,j,josh,cullen,Central Midfield,Midfielder,1080000.0,1996-04-07,1996,4,24,Ireland
Manuel Lanzini,manuel lanzini,m,manuel,lanzini,Attacking Midfield,Midfielder,14400000.0,1993-02-15,1993,2,27,Argentina
Pablo Fornals,pablo fornals,p,pablo,fornals,Attacking Midfield,Midfielder,14400000.0,1996-02-22,1996,2,24,Spain
Felipe Anderson,felipe anderson,f,felipe,anderson,Left Winger,Forward,22500000.0,1993-04-15,1993,4,27,Brazil
Grady Diangana,grady diangana,g,grady,diangana,Left Winger,Forward,4050000.0,1998-04-19,1998,4,22,England
Jarrod Bowen,jarrod bowen,j,jarrod,bowen,Right Winger,Forward,22500000.0,1996-12-20,1996,12,23,England
Andriy Yarmolenko,andriy yarmolenko,a,andriy,yarmolenko,Right Winger,Forward,8550000.0,1989-10-23,1989,10,30,Ukraine
Robert Snodgrass,robert snodgrass,r,robert,snodgrass,Right Winger,Forward,4320000.0,1987-09-07,1987,9,32,Scotland
Sébastien Haller,sebastien haller,s,sebastien,haller,Centre-Forward,Forward,32400000.0,1994-06-22,1994,6,26,France
Michail Antonio,michail antonio,m,michail,antonio,Centre-Forward,Forward,8550000.0,1990-03-28,1990,3,30,England
Tom Heaton,tom heaton,t,tom,heaton,Goalkeeper,Goalkeeper,4320000.0,1986-04-15,1986,4,34,England
Lovre Kalinic,lovre kalinic,l,lovre,kalinic,Goalkeeper,Goalkeeper,2520000.0,1990-04-03,1990,4,30,Croatia
Jed Steer,jed steer,j,jed,steer,Goalkeeper,Goalkeeper,1080000.0,1992-09-23,1992,9,27,England
Örjan Nyland,orjan nyland,o,orjan,nyland,Goalkeeper,Goalkeeper,1080000.0,1990-09-10,1990,9,29,Norway
Tyrone Mings,tyrone mings,t,tyrone,mings,Centre-Back,Defender,20250000.0,1993-03-13,1993,3,27,England
Björn Engels,bjorn engels,b,bjorn,engels,Centre-Back,Defender,8550000.0,1994-09-15,1994,9,25,Belgium
Ezri Konsa,ezri konsa,e,ezri,konsa,Centre-Back,Defender,8100000.0,1997-10-23,1997,10,22,England
Kortney Hause,kortney hause,k,kortney,hause,Centre-Back,Defender,5850000.0,1995-07-16,1995,7,25,England
Matt Targett,matt targett,m,matt,targett,Left-Back,Defender,9450000.0,1995-09-18,1995,9,24,England
Neil Taylor,neil taylor,n,neil,taylor,Left-Back,Defender,2520000.0,1989-02-07,1989,2,31,Wales
Frédéric Guilbert,frederic guilbert,f,frederic,guilbert,Right-Back,Defender,6300000.0,1994-12-24,1994,12,25,France
Ahmed Elmohamady,ahmed elmohamady,a,ahmed,elmohamady,Right-Back,Defender,1800000.0,1987-09-09,1987,9,32,Egypt
James Bree,james bree,j,james,bree,Right-Back,Defender,1080000.0,1997-12-11,1997,12,22,England
Douglas Luiz,douglas luiz,d,douglas,luiz,Defensive Midfield,Midfielder,19800000.0,1998-05-09,1998,5,22,Brazil
Marvelous Nakamba,marvelous nakamba,m,marvelous,nakamba,Defensive Midfield,Midfielder,7200000.0,1994-01-19,1994,1,26,Zimbabwe
John McGinn,john mcginn,j,john,mcginn,Central Midfield,Midfielder,14400000.0,1994-10-18,1994,10,25,Scotland
Conor Hourihane,conor hourihane,c,conor,hourihane,Central Midfield,Midfielder,5400000.0,1991-02-02,1991,2,29,Ireland
Henri Lansbury,henri lansbury,h,henri,lansbury,Central Midfield,Midfielder,1080000.0,1990-10-12,1990,10,29,England
Jack Grealish,jack grealish,j,jack,grealish,Attacking Midfield,Midfielder,36000000.0,1995-09-10,1995,9,24,England
Trezeguet,trezeguet,t,trezeguet,trezeguet,Left Winger,Forward,7200000.0,1994-10-01,1994,10,25,Egypt
Anwar El Ghazi,anwar el ghazi,a,anwar,ghazi,Right Winger,Forward,7200000.0,1995-05-03,1995,5,25,Netherlands
Jota,jota,j,jota,jota,Right Winger,Forward,3150000.0,1991-06-16,1991,6,29,Spain
Wesley,wesley,w,wesley,wesley,Centre-Forward,Forward,21600000.0,1996-11-26,1996,11,23,Brazil
Mbwana Samatta,mbwana samatta,m,mbwana,samatta,Centre-Forward,Forward,8550000.0,1992-12-23,1992,12,27,Tanzania
Scott Hogan,scott hogan,s,scott,hogan,Centre-Forward,Forward,2880000.0,1992-04-13,1992,4,28,Ireland
Keinan Davis,keinan davis,k,keinan,davis,Centre-Forward,Forward,2070000.0,1998-02-13,1998,2,22,England
Martin Dubravka,martin dubravka,m,martin,dubravka,Goalkeeper,Goalkeeper,6750000.0,1989-01-15,1989,1,31,Slovakia
Karl Darlow,karl darlow,k,karl,darlow,Goalkeeper,Goalkeeper,2160000.0,1990-10-08,1990,10,29,England
Mark Gillespie,mark gillespie,m,mark,gillespie,Goalkeeper,Goalkeeper,360000.0,1992-03-27,1992,3,28,England
Jamaal Lascelles,jamaal lascelles,j,jamaal,lascelles,Centre-Back,Defender,13050000.0,1993-11-11,1993,11,26,England
Fabian Schär,fabian schar,f,fabian,schar,Centre-Back,Defender,11700000.0,1991-12-20,1991,12,28,Switzerland
